{'k': '33/46', 'status': 'excluded', 'triples_tried': 1}
{'k': '28/39', 'status': 'excluded', 'triples_tried': 1}
{'k': '23/32', 'status': 'excluded', 'triples_tried': 1}
{'k': '18/25', 'status': 'excluded', 'triples_tried': 1}
{'k': '31/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '34/47', 'status': 'excluded', 'triples_tried': 2}
{'k': '21/29', 'status': 'excluded', 'triples_tried': 1}
{'k': '29/40', 'status': 'excluded', 'triples_tried': 1}
{'k': '35/48', 'status': 'excluded', 'triples_tried': 1}
{'k': '27/37', 'status': 'excluded', 'triples_tried': 2}
{'k': '19/26', 'status': 'excluded', 'triples_tried': 2}
{'k': '30/41', 'status': 'unresolved', 'triples_tried': 56}
{'k': '25/34', 'status': 'excluded', 'triples_tried': 1}
{'k': '31/42', 'status': 'excluded', 'triples_tried': 1}
{'k': '20/27', 'status': 'excluded', 'triples_tried': 2}
{'k': '23/31', 'status': 'excluded', 'triples_tried': 2}
{'k': '26/35', 'status': 'excluded', 'triples_tried': 1}
{'k': '29/39', 'status': 'excluded', 'triples_tried': 1}
{'k': '32/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '35/47', 'status': 'excluded', 'triples_tried': 2}
{'k': '34/45', 'status': 'excluded', 'triples_tried': 10}
{'k': '31/41', 'status': 'unresolved', 'triples_tried': 56}
{'k': '28/37', 'status': 'unresolved', 'triples_tried': 56}
{'k': '25/33', 'status': 'excluded', 'triples_tried': 1}
{'k': '22/29', 'status': 'excluded', 'triples_tried': 2}
{'k': '19/25', 'status': 'excluded', 'triples_tried': 2}
{'k': '35/46', 'status': 'unresolved', 'triples_tried': 56}
{'k': '29/38', 'status': 'excluded', 'triples_tried': 1}
{'k': '36/47', 'status': 'excluded', 'triples_tried': 2}
{'k': '23/30', 'status': 'excluded', 'triples_tried': 1}
{'k': '33/43', 'status': 'unresolved', 'triples_tried': 56}
{'k': '37/48', 'status': 'excluded', 'triples_tried': 1}
{'k': '27/35', 'status': 'excluded', 'triples_tried': 2}
{'k': '24/31', 'status': 'unresolved', 'triples_tried': 56}
{'k': '31/40', 'status': 'excluded', 'triples_tried': 1}
{'k': '32/41', 'status': 'excluded', 'triples_tried': 2}
{'k': '25/32', 'status': 'excluded', 'triples_tried': 2}
{'k': '29/37', 'status': 'excluded', 'triples_tried': 1}
{'k': '37/47', 'status': 'excluded', 'triples_tried': 1}
{'k': '26/33', 'status': 'unresolved', 'triples_tried': 56}
{'k': '34/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '23/29', 'status': 'excluded', 'triples_tried': 2}
{'k': '27/34', 'status': 'unresolved', 'triples_tried': 56}
{'k': '31/39', 'status': 'excluded', 'triples_tried': 2}
{'k': '35/44', 'status': 'excluded', 'triples_tried': 10}
{'k': '37/46', 'status': 'excluded', 'triples_tried': 1}
{'k': '33/41', 'status': 'excluded', 'triples_tried': 2}
{'k': '29/36', 'status': 'excluded', 'triples_tried': 7}
{'k': '25/31', 'status': 'excluded', 'triples_tried': 1}
{'k': '21/26', 'status': 'excluded', 'triples_tried': 1}
{'k': '38/47', 'status': 'excluded', 'triples_tried': 7}
{'k': '30/37', 'status': 'excluded', 'triples_tried': 2}
{'k': '35/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '22/27', 'status': 'excluded', 'triples_tried': 7}
{'k': '31/38', 'status': 'excluded', 'triples_tried': 1}
{'k': '32/39', 'status': 'excluded', 'triples_tried': 1}
{'k': '23/28', 'status': 'excluded', 'triples_tried': 20}
{'k': '37/45', 'status': 'excluded', 'triples_tried': 1}
{'k': '33/40', 'status': 'excluded', 'triples_tried': 1}
{'k': '24/29', 'status': 'excluded', 'triples_tried': 1}
{'k': '29/35', 'status': 'excluded', 'triples_tried': 10}
