  p=13 pair 1600/1642 {'tested': 1054066, 'passed': 103688, 'pole': 55281, 'S1': 15695, 'SU1': 15616, 'multizero_int': 21926, 'multizero_pole': 34732, 'eq_n': 41612, 'pr_ps_pole': 6270, 'N1_viol': 15695, 'N2_pass': 134576, 'N2_viol': 1485} 42s
p=13 DONE pairs=1642 {'tested': 1081087, 'passed': 106786, 'pole': 57095, 'S1': 16484, 'SU1': 16369, 'multizero_int': 22535, 'multizero_pole': 36245, 'eq_n': 43154, 'pr_ps_pole': 6542, 'N1_viol': 16484, 'N2_pass': 137674, 'N2_viol': 1485} 43s
  p=29 pair 0/2007 {'tested': 660, 'passed': 72, 'pole': 57, 'S1': 0, 'SU1': 57, 'multizero_int': 0, 'multizero_pole': 56, 'eq_n': 57, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 72, 'N2_viol': 0} 0s
  p=29 pair 100/2007 {'tested': 66572, 'passed': 5458, 'pole': 3696, 'S1': 1315, 'SU1': 1311, 'multizero_int': 0, 'multizero_pole': 2865, 'eq_n': 2925, 'pr_ps_pole': 774, 'N1_viol': 1315, 'N2_pass': 5507, 'N2_viol': 0} 3s
  p=29 pair 200/2007 {'tested': 132489, 'passed': 10601, 'pole': 7092, 'S1': 1539, 'SU1': 1764, 'multizero_int': 0, 'multizero_pole': 5217, 'eq_n': 5574, 'pr_ps_pole': 1514, 'N1_viol': 1539, 'N2_pass': 11135, 'N2_viol': 17} 5s
  p=29 pair 300/2007 {'tested': 198333, 'passed': 15856, 'pole': 10589, 'S1': 2694, 'SU1': 2716, 'multizero_int': 16, 'multizero_pole': 7474, 'eq_n': 8358, 'pr_ps_pole': 2062, 'N1_viol': 2694, 'N2_pass': 16686, 'N2_viol': 75} 8s
  p=29 pair 400/2007 {'tested': 264187, 'passed': 20248, 'pole': 13283, 'S1': 2694, 'SU1': 3321, 'multizero_int': 16, 'multizero_pole': 9167, 'eq_n': 10445, 'pr_ps_pole': 2184, 'N1_viol': 2694, 'N2_pass': 21702, 'N2_viol': 111} 10s
  p=29 pair 500/2007 {'tested': 330006, 'passed': 25615, 'pole': 16863, 'S1': 4706, 'SU1': 4716, 'multizero_int': 96, 'multizero_pole': 10767, 'eq_n': 12353, 'pr_ps_pole': 2184, 'N1_viol': 4706, 'N2_pass': 28176, 'N2_viol': 1036} 13s
  p=29 pair 600/2007 {'tested': 395706, 'passed': 30348, 'pole': 19732, 'S1': 5236, 'SU1': 5238, 'multizero_int': 240, 'multizero_pole': 12235, 'eq_n': 13980, 'pr_ps_pole': 2675, 'N1_viol': 5236, 'N2_pass': 35390, 'N2_viol': 1036} 16s
  p=29 pair 700/2007 {'tested': 461312, 'passed': 35762, 'pole': 23186, 'S1': 6285, 'SU1': 6284, 'multizero_int': 272, 'multizero_pole': 14215, 'eq_n': 16328, 'pr_ps_pole': 2918, 'N1_viol': 6285, 'N2_pass': 42569, 'N2_viol': 1036} 18s
  p=29 pair 800/2007 {'tested': 527038, 'passed': 40803, 'pole': 26588, 'S1': 7294, 'SU1': 7295, 'multizero_int': 272, 'multizero_pole': 16487, 'eq_n': 18889, 'pr_ps_pole': 3396, 'N1_viol': 7294, 'N2_pass': 50944, 'N2_viol': 1036} 21s
  p=29 pair 900/2007 {'tested': 592897, 'passed': 45611, 'pole': 29887, 'S1': 8207, 'SU1': 8211, 'multizero_int': 272, 'multizero_pole': 18879, 'eq_n': 21624, 'pr_ps_pole': 3819, 'N1_viol': 8207, 'N2_pass': 59713, 'N2_viol': 1036} 23s
  p=29 pair 1000/2007 {'tested': 658807, 'passed': 50237, 'pole': 32983, 'S1': 9052, 'SU1': 9123, 'multizero_int': 304, 'multizero_pole': 20776, 'eq_n': 23897, 'pr_ps_pole': 4057, 'N1_viol': 9052, 'N2_pass': 67062, 'N2_viol': 1036} 26s
  p=29 pair 1100/2007 {'tested': 724766, 'passed': 55820, 'pole': 36539, 'S1': 10015, 'SU1': 10112, 'multizero_int': 320, 'multizero_pole': 23072, 'eq_n': 26478, 'pr_ps_pole': 4614, 'N1_viol': 10015, 'N2_pass': 75770, 'N2_viol': 1036} 28s
  p=29 pair 1200/2007 {'tested': 790693, 'passed': 61309, 'pole': 39943, 'S1': 10991, 'SU1': 11009, 'multizero_int': 352, 'multizero_pole': 25136, 'eq_n': 28825, 'pr_ps_pole': 5087, 'N1_viol': 10991, 'N2_pass': 84020, 'N2_viol': 1036} 31s
  p=29 pair 1300/2007 {'tested': 856615, 'passed': 66533, 'pole': 43229, 'S1': 11938, 'SU1': 11961, 'multizero_int': 432, 'multizero_pole': 27072, 'eq_n': 31126, 'pr_ps_pole': 5348, 'N1_viol': 11938, 'N2_pass': 92282, 'N2_viol': 1036} 33s
  p=29 pair 1400/2007 {'tested': 922581, 'passed': 71654, 'pole': 46712, 'S1': 12827, 'SU1': 12851, 'multizero_int': 464, 'multizero_pole': 29472, 'eq_n': 33803, 'pr_ps_pole': 5996, 'N1_viol': 12827, 'N2_pass': 101318, 'N2_viol': 1036} 36s
  p=29 pair 1500/2007 {'tested': 988506, 'passed': 76552, 'pole': 50231, 'S1': 13872, 'SU1': 13885, 'multizero_int': 464, 'multizero_pole': 31584, 'eq_n': 36318, 'pr_ps_pole': 6291, 'N1_viol': 13872, 'N2_pass': 108488, 'N2_viol': 1036} 39s
  p=29 pair 1600/2007 {'tested': 1054359, 'passed': 81883, 'pole': 53904, 'S1': 15499, 'SU1': 15536, 'multizero_int': 464, 'multizero_pole': 33596, 'eq_n': 38482, 'pr_ps_pole': 6516, 'N1_viol': 15499, 'N2_pass': 115586, 'N2_viol': 1782} 41s
  p=29 pair 1700/2007 {'tested': 1120205, 'passed': 86654, 'pole': 56948, 'S1': 16148, 'SU1': 16137, 'multizero_int': 480, 'multizero_pole': 35428, 'eq_n': 40848, 'pr_ps_pole': 6629, 'N1_viol': 16148, 'N2_pass': 121095, 'N2_viol': 1943} 44s
  p=29 pair 1800/2007 {'tested': 1186047, 'passed': 91875, 'pole': 60383, 'S1': 17040, 'SU1': 17115, 'multizero_int': 545, 'multizero_pole': 37612, 'eq_n': 43514, 'pr_ps_pole': 7185, 'N1_viol': 17040, 'N2_pass': 126569, 'N2_viol': 1994} 46s
  p=29 pair 1900/2007 {'tested': 1251967, 'passed': 97129, 'pole': 63901, 'S1': 17545, 'SU1': 17562, 'multizero_int': 545, 'multizero_pole': 40108, 'eq_n': 46363, 'pr_ps_pole': 7837, 'N1_viol': 17545, 'N2_pass': 132209, 'N2_viol': 2006} 49s
  p=29 pair 2000/2007 {'tested': 1317881, 'passed': 102358, 'pole': 67370, 'S1': 18521, 'SU1': 18876, 'multizero_int': 545, 'multizero_pole': 42684, 'eq_n': 48994, 'pr_ps_pole': 8676, 'N1_viol': 18521, 'N2_pass': 137584, 'N2_viol': 2006} 51s
p=29 DONE pairs=2007 {'tested': 1321836, 'passed': 102802, 'pole': 67715, 'S1': 18866, 'SU1': 18876, 'multizero_int': 545, 'multizero_pole': 43020, 'eq_n': 49339, 'pr_ps_pole': 8676, 'N1_viol': 18866, 'N2_pass': 138028, 'N2_viol': 2006} 52s
TOTAL [3, 7, 11, 13, 29] {'tested': 5535372, 'passed': 348094, 'pole': 124810, 'S1': 35350, 'SU1': 35245, 'multizero_int': 60263, 'multizero_pole': 79265, 'eq_n': 92493, 'pr_ps_pole': 15218, 'N1_viol': 35350, 'N2_pass': 427739, 'N2_viol': 3491}
ALL C1-C8 ASSERTIONS PASSED; negative controls: N1_viol=35350 (must be >0 for p=1 mod 4), N2_viol=3491 (>0 => the two edge rows are genuinely needed)
